1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
2	4
2	6
2	126239
2	126253
2	155439
2	171301
3	4
3	5
3	7
3	9
3	31317
3	35346
3	64326
3	87159
3	94142
3	127645
3	140284
3	145089
3	231733
3	236063
3	236064
3	236065
3	236066
4	5
4	6
4	8
4	9
4	2344
4	35346
4	94142
4	109201
4	109203
4	109205
4	109206
4	126258
4	134552
4	140284
4	144210
4	155439
4	166009
4	166564
4	188531
4	236063
4	236064
4	258000
4	258002
4	267096
4	270735
4	270736
4	270737
4	270738
5	8
5	9
5	19622
5	35346
5	64326
5	94142
5	134552
5	144210
5	150504
5	188531
5	193292
5	196494
5	199349
5	213348
5	213349
5	213350
5	236063
5	252478
5	252481
5	252483
5	258006
5	263810
5	267096
6	9
6	35346
6	155439
6	210576
6	234600
6	252881
7	109202
7	210576
7	230795
7	231733
7	236064
7	331535
7	331902
8	109202
8	267096
8	267097
9	257743
10	11
